key;fr;en
event_1_titre;Concert de Brume;Mist Concert
event_1_desc;Au Théâtre Halo, la brume holographique révèle un message caché. Le show déraille sous des applaudissements hésitants.;At Theatre Halo, the holographic mist reveals a hidden message. The show veers off course under hesitant applause.
event_1_choix1;Encourager la projection pirate.;Encourage the pirate projection.
event_1_choix2;Appeler la sécurité du Halo.;Call Halo security.
event_2_titre;Jetons Fantômes;Phantom Tokens
event_2_desc;Au Pixel‑Palace, un bug crédite des jetons infinis sur quelques bornes. La rumeur enfle devant la file.;At the Pixel-Palace, a bug credits infinite tokens on a few cabinets. The rumor swells in front of the line.
event_2_choix1;Signaler le bug au gérant.;Report the bug to the manager.
event_2_choix2;Inviter Voxel à l'examiner.;Invite Voxel to examine it.
event_3_titre;Le Pont qui Parle;The Talking Bridge
event_3_desc;Au Pont des Ombres, des haut‑parleurs diffusent un code sonore à minuit. La foule s’arrête, intriguée.;At the Pont des Ombres, loudspeakers broadcast an audio code at midnight. The crowd stops, intrigued.
event_3_choix1;Diffuser le code au public.;Broadcast the code to the public.
event_3_choix2;Couper la sonorisation du pont.;Cut the bridge sound system.
event_4_titre;Fraise Cipher;Strawberry Cipher
event_4_desc;Aux Serres Lysiane, des fraises bleu‑électrique tracent un motif bioluminescent. On dirait un message.;At the Lysiane Greenhouses, electric-blue strawberries trace a bioluminescent pattern. It looks like a message.
event_4_choix1;Scanner les plants en public.;Scan the plants in public.
event_4_choix2;Couper l'éclairage expérimental.;Cut the experimental lighting.
event_5_titre;Échos Inhabités;Uninhabited Echoes
event_5_desc;À l’Usine Écho, un battement à 0,8 Hz fait vibrer la nef. Les visiteurs paniquent, les capteurs saturent.;At Usine Echo, a 0.8 Hz beat makes the nave vibrate. Visitors panic, sensors saturate.
event_5_choix1;Caler les micros et enregistrer.;Set up the microphones and record.
event_5_choix2;Évacuer l’Usine immédiatement.;Evacuate Usine Echo immediately.
event_6_titre;Aurore Stroboscopique;Strobing Aurora
event_6_desc;À la Galerie Nébuleuse, un filtre AR provoque des crises photosensibles. Le ciel partagé clignote trop vite.;At Galerie Nebuleuse, an AR filter triggers photosensitive episodes. The shared sky flashes too fast.
event_6_choix1;Suspendre le filtre ce soir.;Suspend the filter tonight.
event_6_choix2;Laisser faire, publier un avertissement.;Let it run, publish a warning.
event_7_titre;Vote Miroir;Mirror Vote
event_7_desc;À la Tour Opaline, des écrans miroirs affichent deux résultats différents. Le public gronde.;At Tour Opaline, mirror screens show two different results. The public growls.
event_7_choix1;Exiger un recomptage public.;Demand a public recount.
event_7_choix2;Ignorer, noter en privé.;Ignore it, note it privately.
event_8_titre;Glace Mémoire;Memory Ice Cream
event_8_desc;Au Square Valmont, Tito Mansi sert un parfum rare qui déclenche des réminiscences. Les Bancaires s’émeuvent.;At Square Valmont, Tito Mansi serves a rare flavor that triggers reminiscences. The Bankers grow emotional.
event_8_choix1;Goûter et archiver la recette.;Taste it and archive the recipe.
event_8_choix2;Refuser, préserver la confidentialité.;Refuse, preserve confidentiality.
event_9_titre;Rumeur Contée;Told Rumor
event_9_desc;Au Café des Courants, des coordonnées d’épave circulent contre un ristretto. Des plongeurs s’équipent déjà.;At Cafe des Courants, wreck coordinates circulate for a ristretto. Divers are already gearing up.
event_9_choix1;Organiser une expédition.;Organize an expedition.
event_9_choix2;Informer les autorités fluviales.;Inform the river authorities.
event_10_titre;Sortie Déplacée;Shifted Exit
event_10_desc;Au Labyrinthe Quartz, la sortie change sans prévenir. Des visiteurs tournent en rond parmi les colonnes.;At the Quartz Labyrinth, the exit changes without warning. Visitors wander in circles among the columns.
event_10_choix1;Guidage sonore improvisé.;Improvise audio guidance.
event_10_choix2;Fermer l'accès jusqu'au matin.;Close access until morning.
event_11_titre;Capsules Ouvertes;Opened Capsules
event_11_desc;Au Mirador Δ, un orage ouvre des capsules‑USB scellées. Secrets intimes et publics ruissellent sur l’esplanade.;At Mirador Delta, a storm opens sealed USB capsules. Private and public secrets stream across the esplanade.
event_11_choix1;Sauver et chiffrer les données.;Save and encrypt the data.
event_11_choix2;Remettre tout à la mairie.;Hand everything over to city hall.
event_12_titre;Lucioles en Morse;Fireflies in Morse
event_12_desc;À Station Lumen‑Nord, les lucioles OGM clignotent « Free the Rails ». Les passants filment, ravis.;"At Station Lumen-Nord, GMO fireflies blink ""Free the Rails"". Passersby film, delighted."
event_12_choix1;Relayer sur écrans publics.;Relay it on public screens.
event_12_choix2;Réinitialiser la station.;Reset the station.
event_13_titre;Bourse Gelée;Frozen Budget
event_13_desc;Au Parc des Archives, le vote budgétaire gèle : 12 000 comptes fantômes détectés. La foule réclame des explications.;At Parc des Archives, the budget vote freezes: 12,000 ghost accounts detected. The crowd demands explanations.
event_13_choix1;Enquêter en public.;Investigate in public.
event_13_choix2;Négocier en coulisses.;Negotiate behind the scenes.
event_14_titre;Vinyle Fantôme;Phantom Vinyl
event_14_desc;À la Crypte d’Argon, un signal analogique s’invite entre deux pistes. Un message chuchoté traverse le casque.;At the Argon Crypt, an analog signal slips between two tracks. A whispered message crosses the headphones.
event_14_choix1;Amplifier le signal sur vinyle.;Amplify the signal on vinyl.
event_14_choix2;Couper la prise antenne.;Cut the antenna input.
event_15_titre;Sas Niveau -5;Level -5 Airlock
event_15_desc;Dans Subterranea, un sas se referme tout seul. Des voix métalliques résonnent derrière la porte.;In Subterranea, an airlock closes by itself. Metallic voices echo behind the door.
event_15_choix1;Forcer l'ouverture du sas.;Force the airlock open.
event_15_choix2;Sceller et poser des capteurs.;Seal it and place sensors.
event_16_titre;#ChuteSucrée;#SugarCrash
event_16_desc;Un drone Azur Néo chavire près de Valmont, renversant 23 glaces. Le hashtag explose en tête de tendance.;An Azur Neo drone capsizes near Valmont, spilling 23 ice creams. The hashtag explodes to the top of the trends.
event_16_choix1;Publier le crash‑log.;Publish the crash log.
event_16_choix2;Étouffer l'incident.;Smother the incident.
event_17_titre;Pari Gelé;Frozen Bet
event_17_desc;Les Bancaires stoppent les mises : soupçon de fraude AR sur la finale e‑sport. La place se fige.;The Bankers stop all bets: suspected AR fraud on the e-sports final. The square freezes.
event_17_choix1;Auditer les paris en live.;Audit the bets live.
event_17_choix2;Rembourser et fermer la soirée.;Refund everyone and shut down the night.
event_18_titre;Rails contre Azur;Rails Against Azur
event_18_desc;Les Gardiens bloquent pacifiquement un dépôt Azur. La ville retient son souffle.;The Guardians peacefully block an Azur depot. The city holds its breath.
event_18_choix1;Rejoindre le blocage pacifique.;Join the peaceful blockade.
event_18_choix2;Servir d'intermédiaire discret.;Act as a discreet intermediary.
event_19_titre;Battement Sous Valmont;Beat Beneath Valmont
event_19_desc;Un grondement sourd traverse le Square. Les nénuphars vibrent à l’unisson de la mare.;A dull rumble crosses the Square. The water lilies vibrate in unison with the pond.
event_19_choix1;Descendre avec capteurs.;Go down with sensors.
event_19_choix2;Tracer la source depuis la surface.;Trace the source from the surface.
event_20_titre;Fin de Transmission;End of Transmission
event_20_desc;Un signal faible revient de la Tour Opaline. Quelques mots : « encore là ». La foule se tait.;"A weak signal returns from Tour Opaline. A few words: ""still here"". The crowd falls silent."
event_20_choix1;Retransmettre sans filtrer.;Retransmit without filtering.
event_20_choix2;Filtrer et analyser d'abord.;Filter and analyze first.
event_21_titre;L'Opéra des Spectres;The Specters' Opera
event_21_desc;Au Théâtre Halo, vous assistez à un spectacle d'hologrammes. Soudain, au lieu des artistes, des silhouettes statiques et bleutées apparaissent. C'est un message subliminal des Gardiens du Rails qui dénoncent un complot à peine visible.;At Theatre Halo, you attend a hologram show. Suddenly, instead of the artists, static bluish silhouettes appear. It is a subliminal message from the Guardians of the Rails denouncing a barely visible conspiracy.
event_21_choix1;Applaudir les Gardiens et applaudir leur œuvre.;Applaud the Guardians and their work.
event_21_choix2;Partir.;Leave.
event_22_titre;Néon-Ring en Surcharge;Neon Ring Overload
event_22_desc;Au Square Valmont, le Néon-Ring pulse au-delà des seuils. Un motif caché apparaît dans la lumière, signé Voxel.;At Square Valmont, the Neon Ring pulses beyond its thresholds. A hidden pattern appears in the light, signed by Voxel.
event_22_choix1;Couper l’alim et sécuriser la place.;Cut the power and secure the square.
event_22_choix2;Laisser tourner pour déchiffrer le motif.;Let it run to decipher the pattern.
event_23_titre;Caméra Obscura du Pont;Bridge Camera Obscura
event_23_desc;Sur le Pont des Ombres, les graffitis AR révèlent à minuit une carte partielle des souterrains.;On the Pont des Ombres, AR graffiti reveals a partial map of the underground at midnight.
event_23_choix1;Photographier et publier la carte.;Photograph and publish the map.
event_23_choix2;Effacer les tags pour éviter la panique.;Erase the tags to avoid panic.
event_24_titre;Graine Bleue;Blue Seed
event_24_desc;Aux Serres Lysiane, des fraises bleu‑électrique dessinent un code bioluminescent sur les étals.;At the Lysiane Greenhouses, electric-blue strawberries draw a bioluminescent code across the stalls.
event_24_choix1;Récolter et analyser le motif.;Harvest and analyze the pattern.
event_24_choix2;Débrancher les pollinisateurs‑robots.;Unplug the pollinator robots.
event_25_titre;Écho à 0,8 Hz;Echo at 0.8 Hz
event_25_desc;"À l’Usine Écho, un battement grave traverse la nef ; les capteurs amateurs saturent à l’unisson.";"At Usine Echo, a deep beat crosses the nave; amateur sensors saturate in unison."
event_25_choix1;Calibrer les capteurs et enregistrer.;Calibrate the sensors and record.
event_25_choix2;Évacuer et alerter la mairie.;Evacuate and alert city hall.
event_26_titre;Aurore Piratée;Hacked Aurora
event_26_desc;"À la Galerie Nébuleuse, le filtre « Aurore » recolore le ciel partagé en rose ; un message Voxel s’y cache.";"At Galerie Nebuleuse, the ""Aurora"" filter recolors the shared sky pink; a Voxel message is hidden in it."
event_26_choix1;Laisser diffuser et ouvrir débat.;Let it spread and open the debate.
event_26_choix2;Désactiver tous les filtres ce soir.;Disable all filters tonight.
event_27_titre;Capsule Brisée;Broken Capsule
event_27_desc;"Au Mirador Δ, un orage ouvre des capsules‑USB scellées ; des secrets personnels et publics fuitent.";"At Mirador Delta, a storm opens sealed USB capsules; personal and public secrets leak out."
event_27_choix1;Sauvegarder et chiffrer les données.;Back up and encrypt the data.
event_27_choix2;Remettre les capsules aux autorités.;Hand the capsules to the authorities.
event_28_titre;Contre‑Archives;Counter-Archives
event_28_desc;Au Parc des Archives, l’IA active une version alternative d’un événement historique clé.;At Parc des Archives, the AI activates an alternate version of a key historical event.
event_28_choix1;Valider l’aperçu et consulter.;Validate the preview and consult it.
event_28_choix2;Revenir immédiatement à l’officiel.;Return immediately to the official version.
event_29_titre;Trame Brouillée;Scrambled Frame
event_29_desc;À Station Lumen‑Nord, les lucioles OGM clignotent en morse : « Free the Rails » devant des centaines d’usagers.;"At Station Lumen-Nord, GMO fireflies blink in Morse: ""Free the Rails"" in front of hundreds of commuters."
event_29_choix1;Relayer le message sur les écrans.;Relay the message on the screens.
event_29_choix2;Reprogrammer en vert (retour à la normale).;Reprogram them green (back to normal).
event_30_titre;Sas Silencieux;Silent Airlock
event_30_desc;"Dans Subterranea, le sas du niveau -5 se ferme seul ; des voix métalliques résonnent au-delà des portes.";"In Subterranea, the level -5 airlock closes by itself; metallic voices echo beyond the doors."
event_30_choix1;Forcer le sas et entrer.;Force the airlock and enter.
event_30_choix2;Sceller la zone et remonter.;Seal the area and go back up.
event_31_titre;Concert de Brume;Mist Concert
event_31_desc;Au Théâtre Halo, la brume holographique révèle un message caché. Le show déraille sous des applaudissements hésitants.;At Theatre Halo, the holographic mist reveals a hidden message. The show veers off course under hesitant applause.
event_31_choix1;Encourager la projection pirate.;Encourage the pirate projection.
event_31_choix2;Appeler la sécurité du Halo.;Call Halo security.
event_32_titre;Jetons Fantômes;Phantom Tokens
event_32_desc;Au Pixel‑Palace, un bug crédite des jetons infinis sur quelques bornes. La rumeur enfle devant la file.;At the Pixel-Palace, a bug credits infinite tokens on a few cabinets. The rumor swells in front of the line.
